component,method,returntype,paralist
3,org.mybatis.jpetstore.service.OrderService.getOrdersByUsername,List,String
3,org.mybatis.jpetstore.service.OrderService.insertOrder,void,Order
3,org.mybatis.jpetstore.web.actions.CartActionBean.clear,void,
3,org.mybatis.jpetstore.service.OrderService.getOrder,Order,int
3,org.mybatis.jpetstore.domain.Item.getProduct,Product,
4,org.mybatis.jpetstore.service.CatalogService.isItemInStock,boolean,String
3,org.mybatis.jpetstore.domain.LineItem.LineItem,,"int,CartItem"
1,org.mybatis.jpetstore.mapper.SequenceMapper.getSequence,Sequence,Sequence
1,org.mybatis.jpetstore.mapper.SequenceMapper.updateSequence,void,Sequence
3,org.mybatis.jpetstore.domain.Cart.getSubTotal,BigDecimal,
4,org.mybatis.jpetstore.mapper.ItemMapper.getInventoryQuantity,int,String
4,org.mybatis.jpetstore.mapper.ItemMapper.getItem,Item,String
4,org.mybatis.jpetstore.mapper.ItemMapper.updateInventoryQuantity,void,Map
0,org.mybatis.jpetstore.mapper.LineItemMapper.getLineItemsByOrderId,List,int
2,org.mybatis.jpetstore.domain.Order.setLineItems,void,List
2,org.mybatis.jpetstore.domain.Order.getLineItems,List,
0,org.mybatis.jpetstore.mapper.LineItemMapper.insertLineItem,void,LineItem
